site ID,crosval ID,sw,nee,gpp,lai,ave,amp,lst_day,lst_night,brdf1,brdf2,brdf3,brdf4,brdf5,brdf6,brdf7,lc,XGBoost GPP,SVR GPP,RF GPP
1,1,99.001,-1.2325,2.532,0.4245,0.263842441137109,0.820166921969533,260.339104836895,271.6925,0.0493,0.2451,0.0309,0.0489,0.2774,0.1894,0.0875,0,2.303023,1.72352526926348,2.0411822406678
1,1,109.49,-0.7904,1.9651,1.0939,0.263842441137109,0.820166921969533,288.7422,276.7556,0.0495,0.2481,0.0189,0.0508,0.2839,0.1944,0.0858,0,2.3804104,2.90604346660964,2.60553616129179
1,1,68.398,-0.45598,1.4901,0.0939,0.263842441137109,0.820166921969533,260.339104836895,275.8178,0.0498,0.2479,0.019,0.0512,0.2832,0.194,0.0853,0,2.0221264,1.39862964499638,1.97023219550106
1,1,243.21,-1.8695,5.0136,1.0082,0.263842441137109,0.820166921969533,288.6289,285.1578,0.0444,0.1717,0.0194,0.0441,0.1953,0.1486,0.0711,0,3.512801,3.98598620938971,2.94133738943568
1,1,133.96,-0.71404,3.0771,1.149,0.263842441137109,0.820166921969533,292.9422,282.8889,0.0456,0.1906,0.0191,0.0469,0.2155,0.1659,0.0782,0,3.3207927,3.0879708147783,4.54467251192189
1,1,201.33,-1.5128,4.2406,1.0571,0.263842441137109,0.820166921969533,296.7156,286.1244,0.0429,0.217,0.02,0.0484,0.2355,0.1651,0.0777,0,4.2430677,4.56966063199636,4.3138764794315
1,1,173.82,-1.5107,3.3109,1.4408,0.263842441137109,0.820166921969533,297.3422,287.2889,0.0392,0.2216,0.0185,0.047,0.2415,0.1635,0.0763,0,4.2561975,4.59945948839329,5.41043752312107
1,1,113.66,-0.75659,2.6126,1.2429,0.263842441137109,0.820166921969533,287.4267,279.9178,0.0398,0.2323,0.0181,0.0481,0.2442,0.1646,0.0764,0,2.6726305,3.3085319914365,3.12365425752589
1,1,127.62,-0.40461,2.5245,1.2163,0.263842441137109,0.820166921969533,293.1178,280.5067,0.0432,0.2429,0.02,0.0524,0.2502,0.1664,0.0745,0,3.619316,3.75024001102636,3.88902306356212
1,1,98.327,0.02927,1.8852,0.351,0.263842441137109,0.820166921969533,285.8244,278.06,0.0427,0.2494,0.0165,0.0511,0.26,0.1705,0.0744,0,2.4239674,2.69499249811286,1.80591800574427
1,1,97.888,0.74587,1.0932,0.8143,0.263842441137109,0.820166921969533,285.7089,277.4533,0.0519,0.2214,0.0206,0.0517,0.2419,0.1733,0.0783,0,1.7024992,2.36647877204151,1.59407521508768
1,1,79.86,0.52353,0.62287,0.5449,0.263842441137109,0.820166921969533,282.3289,273.6333,0.0517,0.1819,0.0193,0.0448,0.2122,0.1591,0.0768,0,1.0922749,1.55004703942154,1.01441284618945
1,1,48.064,0.50907,0.4371,0.298,0.263842441137109,0.820166921969533,277.2067,271.8356,0.0535,0.1723,0.0188,0.0429,0.208,0.1608,0.0784,0,0.8384034,0.941607636240019,0.74974534590373
1,1,244.13,-0.019139,0.29458,0,0.263842441137109,0.820166921969533,269.5333,263.2311,0.8495,0.796,0.8597,0.8693,0.3945,0.1001,0.0454,0,0.62523735,0.974493006523053,0.408794411009316
1,1,232.09,-0.082521,0.34832,0,0.263842441137109,0.820166921969533,271.8689,265.0311,0.8383,0.7823,0.8505,0.8561,0.3579,0.0848,0.0352,0,0.6299939,0.999957730442386,0.415483738810886
1,1,221.49,-0.11035,0.66043,0.0061,0.263842441137109,0.820166921969533,260.339104836895,264.8556,0.8129,0.7232,0.8189,0.8245,0.2895,0.0611,0.0291,0,0.6312621,0.980682051557397,0.402766520361955
1,1,233.45,-0.13174,1.2079,0.0429,0.263842441137109,0.820166921969533,275.7422,273.1222,0.6369,0.5501,0.6548,0.656,0.1801,0.0639,0.0367,0,0.6538617,1.0032343798876,0.492070986708608
1,1,215.14,0.04167,1.0027,0,0.263842441137109,0.820166921969533,271.9689,264.5022,0.5557,0.5216,0.5826,0.5698,0.2049,0.0997,0.0459,0,0.6394064,0.878087205991995,0.417476007217673
1,1,204.74,0.24146,0.92116,0.4571,0.263842441137109,0.820166921969533,279.1889,274.2889,0.5375,0.5115,0.542,0.55,0.2377,0.0733,0.0346,0,1.0697491,1.15626500079363,0.813025945943858
1,1,241.69,0.27754,0.83663,0.4653,0.263842441137109,0.820166921969533,284.0489,278.9511,0.0592,0.1369,0.0243,0.0451,0.1596,0.1256,0.0674,0,1.3924129,2.19644598358753,1.36577854391834
1,1,249.29,-0.37177,1.6569,0.4592,0.263842441137109,0.820166921969533,283.6867,279.5,0.0542,0.1303,0.0226,0.0427,0.1527,0.1168,0.0608,0,1.4756113,2.30397712113433,1.38555358440885
1,1,183.29,-0.95391,3.0103,0.7857,0.263842441137109,0.820166921969533,286.1244,281.3711,0.0493,0.1309,0.0201,0.0408,0.1534,0.1156,0.0582,0,2.6140692,2.52376156151049,2.205385802581
1,1,278.59,-1.4548,4.011,0.8327,0.263842441137109,0.820166921969533,291.22,286.9089,0.0398,0.15,0.0165,0.0384,0.169,0.1225,0.0553,0,3.6251194,4.14512289541834,3.7771113008238
1,1,182.23,-1.6185,3.7235,1.1571,0.263842441137109,0.820166921969533,289.2111,282.5844,0.038,0.1705,0.0155,0.0389,0.1874,0.1308,0.0574,0,3.8185437,3.99578954157014,4.82002276064937
1,1,160.75,-2.1396,4.4051,1.2816,0.263842441137109,0.820166921969533,287.1222,280.1156,0.0401,0.2078,0.0174,0.0438,0.2248,0.149,0.0662,0,3.7834442,3.97733236696037,4.48952571523669
1,1,227.9,-2.1258,4.7684,1.2571,0.263842441137109,0.820166921969533,292.8533,285.7733,0.0409,0.2279,0.0158,0.0467,0.2443,0.1597,0.0719,0,4.602112,5.13201462565174,5.28670925193574
1,1,223.08,-1.7732,4.5083,1.4531,0.263842441137109,0.820166921969533,294.5978,284.6556,0.0396,0.2412,0.0142,0.047,0.2584,0.1695,0.0748,0,5.203625,5.32686423260219,5.70094146558923
